2025-11-14T06:09:01.000000000Z [inf]  Starting Container
2025-11-14T06:09:08.444990066Z [inf]   * Serving Flask app 'api'
2025-11-14T06:09:08.444994188Z [inf]   * Debug mode: on
2025-11-14T06:09:08.444998314Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2025-11-14T06:09:08.445002751Z [err]   * Running on all addresses (0.0.0.0)
2025-11-14T06:09:08.445007145Z [err]   * Running on http://127.0.0.1:8000
2025-11-14T06:09:08.445011348Z [err]   * Running on http://10.232.48.252:8000
2025-11-14T06:09:08.445016238Z [err]  [33mPress CTRL+C to quit[0m
2025-11-14T06:09:08.466240256Z [err]   * Restarting with watchdog (inotify)
2025-11-14T06:09:15.023413647Z [err]   * Debugger is active!
2025-11-14T06:09:15.023417515Z [err]   * Debugger PIN: 559-071-470
2025-11-14T06:09:35.047664786Z [err]  100.64.0.5 - - [14/Nov/2025 06:09:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:09:35.047674658Z [err]  100.64.0.4 - - [14/Nov/2025 06:09:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:09:35.047681327Z [err]  100.64.0.2 - - [14/Nov/2025 06:09:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:09:35.047688046Z [err]  100.64.0.3 - - [14/Nov/2025 06:09:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:09:35.047690480Z [err]  100.64.0.2 - - [14/Nov/2025 06:09:31] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:09:35.047698126Z [err]  100.64.0.2 - - [14/Nov/2025 06:09:31] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:09:35.047704168Z [err]  100.64.0.2 - - [14/Nov/2025 06:09:31] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:09:35.047708295Z [err]  100.64.0.2 - - [14/Nov/2025 06:09:31] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:09:35.047712349Z [err]  100.64.0.2 - - [14/Nov/2025 06:09:31] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:09:35.047717558Z [err]  100.64.0.3 - - [14/Nov/2025 06:09:32] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:09:35.047721366Z [err]  100.64.0.3 - - [14/Nov/2025 06:09:32] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:09:35.047725280Z [err]  100.64.0.3 - - [14/Nov/2025 06:09:32] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:09:35.047729143Z [err]  100.64.0.3 - - [14/Nov/2025 06:09:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:09:35.047733281Z [err]  100.64.0.3 - - [14/Nov/2025 06:09:32] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:10:35.430697633Z [err]  100.64.0.2 - - [14/Nov/2025 06:10:31] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:10:35.430703371Z [err]  100.64.0.3 - - [14/Nov/2025 06:10:31] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:10:35.430709595Z [err]  100.64.0.2 - - [14/Nov/2025 06:10:31] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:10:35.430715149Z [err]  100.64.0.3 - - [14/Nov/2025 06:10:31] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:10:35.430722410Z [err]  100.64.0.2 - - [14/Nov/2025 06:10:31] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:10:35.430728617Z [err]  100.64.0.3 - - [14/Nov/2025 06:10:32] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:10:35.430734835Z [err]  100.64.0.3 - - [14/Nov/2025 06:10:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:10:35.430740584Z [err]  100.64.0.2 - - [14/Nov/2025 06:10:32] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:10:35.430745881Z [err]  100.64.0.3 - - [14/Nov/2025 06:10:32] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:10:35.430752170Z [err]  100.64.0.2 - - [14/Nov/2025 06:10:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:10:35.430757885Z [err]  100.64.0.4 - - [14/Nov/2025 06:10:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:10:35.430763231Z [err]  100.64.0.6 - - [14/Nov/2025 06:10:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:10:35.430770109Z [err]  100.64.0.2 - - [14/Nov/2025 06:10:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:10:35.430777185Z [err]  100.64.0.3 - - [14/Nov/2025 06:10:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:11:35.508687513Z [err]  100.64.0.2 - - [14/Nov/2025 06:11:31] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:11:35.508693732Z [err]  100.64.0.2 - - [14/Nov/2025 06:11:31] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:11:35.508700421Z [err]  100.64.0.2 - - [14/Nov/2025 06:11:31] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:11:35.508706889Z [err]  100.64.0.3 - - [14/Nov/2025 06:11:31] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:11:35.508712708Z [err]  100.64.0.3 - - [14/Nov/2025 06:11:31] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:11:35.508725813Z [err]  100.64.0.3 - - [14/Nov/2025 06:11:31] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:11:35.508735439Z [err]  100.64.0.2 - - [14/Nov/2025 06:11:31] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:11:35.508744562Z [err]  100.64.0.2 - - [14/Nov/2025 06:11:31] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:11:35.508752499Z [err]  100.64.0.3 - - [14/Nov/2025 06:11:31] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:11:35.508761755Z [err]  100.64.0.3 - - [14/Nov/2025 06:11:31] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:11:35.508770477Z [err]  100.64.0.2 - - [14/Nov/2025 06:11:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:11:35.508779683Z [err]  100.64.0.7 - - [14/Nov/2025 06:11:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:11:35.508787996Z [err]  100.64.0.3 - - [14/Nov/2025 06:11:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:11:35.508796777Z [err]  100.64.0.2 - - [14/Nov/2025 06:11:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:12:35.795480635Z [err]  100.64.0.3 - - [14/Nov/2025 06:12:32] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:12:35.795483725Z [err]  100.64.0.2 - - [14/Nov/2025 06:12:32] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:12:35.795487783Z [err]  100.64.0.3 - - [14/Nov/2025 06:12:32] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:12:35.795492632Z [err]  100.64.0.3 - - [14/Nov/2025 06:12:32] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:12:35.795519690Z [err]  100.64.0.2 - - [14/Nov/2025 06:12:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:12:35.795529215Z [err]  100.64.0.2 - - [14/Nov/2025 06:12:32] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:12:35.795530585Z [err]  100.64.0.8 - - [14/Nov/2025 06:12:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:12:35.795537772Z [err]  100.64.0.2 - - [14/Nov/2025 06:12:32] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:12:35.795540198Z [err]  100.64.0.3 - - [14/Nov/2025 06:12:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:12:35.795545820Z [err]  100.64.0.2 - - [14/Nov/2025 06:12:32] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:12:35.795548422Z [err]  100.64.0.2 - - [14/Nov/2025 06:12:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:12:35.795553105Z [err]  100.64.0.4 - - [14/Nov/2025 06:12:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:12:35.795557907Z [err]  100.64.0.3 - - [14/Nov/2025 06:12:32] "GET /api/live-metrics HTTP/1.1" 200 -
