2025-11-17T04:12:33.000000000Z [inf]  Starting Container
2025-11-17T04:12:42.573064379Z [err]  [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
2025-11-17T04:12:42.573077326Z [err]   * Running on all addresses (0.0.0.0)
2025-11-17T04:12:42.573085702Z [err]   * Running on http://127.0.0.1:8000
2025-11-17T04:12:42.573091889Z [err]   * Running on http://10.153.108.15:8000
2025-11-17T04:12:42.573098691Z [err]  [33mPress CTRL+C to quit[0m
2025-11-17T04:12:42.573107484Z [inf]   * Serving Flask app 'api'
2025-11-17T04:12:42.573114747Z [inf]   * Debug mode: on
2025-11-17T04:12:42.573115362Z [err]   * Restarting with watchdog (inotify)
2025-11-17T04:12:50.812830160Z [err]   * Debugger is active!
2025-11-17T04:12:50.812836211Z [err]   * Debugger PIN: 359-782-828
2025-11-17T04:12:53.984839650Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/cancelled-orders?limit=50 HTTP/1.1" 200 -
2025-11-17T04:12:53.984845469Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-17T04:12:53.984850133Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-17T04:12:53.984854826Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/cancelled-orders?limit=50 HTTP/1.1" 200 -
2025-11-17T04:12:53.984859975Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-17T04:12:53.984866260Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-17T04:12:53.984872026Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-17T04:12:53.984879036Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-17T04:12:53.984884240Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-17T04:12:53.984917870Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-17T04:12:53.984924666Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-17T04:12:53.984929515Z [err]  100.64.0.2 - - [17/Nov/2025 04:12:53] "GET /api/leaderboard HTTP/1.1" 200 -
